target,solutions,rank,rating,dictionaryName,due,level
queda,fall,1,1200,personal,19 Feb 2024,8
adormecer,to fall asleep; fall asleep,2,1200,personal,22 Feb 2024,8
sossegado,quiet,3,1200,personal,25 Nov 2023,5
resolutas,resolutely,4,1200,personal,20 Feb 2024,8
aliás,indeed,5,1200,personal,21 Feb 2024,8
poltronas,armchairs,6,1200,personal,20 Feb 2024,8
a fim,with the aim,7,1200,personal,4 Mar 2024,8
providenciar,to arrange; arrange,8,1200,personal,2 Dec 2023,7
sugeri,I suggested; i suggested,9,1200,personal,20 Feb 2024,8
desfrutar do luxo,to enjoy the luxury; enjoy the luxury,10,1200,personal,20 Feb 2024,8
administrar,to manage; manage,11,1200,personal,27 Feb 2024,8
o horário,the time,12,1200,personal,20 Feb 2024,8
ocidentalizados,westernized,13,1200,personal,20 Feb 2024,8
sesta,nap,14,1200,personal,20 Feb 2024,8
entrar em choque,to go into shock; go into shock,15,1200,personal,20 Feb 2024,8
desprezer,to despise; despise,16,1200,personal,17 Jan 2024,7
noitada,night out,17,1200,personal,20 Feb 2024,8
reinício,restart,18,1200,personal,20 Feb 2024,8
dando tudo de si,giving your all,19,1200,personal,20 Feb 2024,8
você se safou,you got away,20,1200,personal,21 Dec 2023,7
reprimido,repressed,21,1200,personal,26 Feb 2024,8
estalo,snap,22,1200,personal,27 Feb 2024,8
pairar,to hang; hang,23,1200,personal,4 Mar 2024,8
destravanquer,to unclutter; unclutter,24,1200,personal,20 Feb 2024,8
embriagado,drunk,25,1200,personal,4 Mar 2024,8
panturrilha,calf,26,1200,personal,27 Mar 2024,8
milésimos,thousandths,27,1200,personal,20 Feb 2024,8
educadamente,politely,28,1200,personal,20 Feb 2024,8
adotar,to adopt; adopt,29,1200,personal,20 Feb 2024,8
esbaforidos,breathless,30,1200,personal,22 Nov 2023,7
afiados,sharp,31,1200,personal,20 Feb 2024,8
compromissos,appointments,32,1200,personal,25 Nov 2023,5
enxotar,to rise; rise,33,1200,personal,12 Dec 2023,6
truncado,truncated,34,1200,personal,22 Jan 2024,7
sutis,subtle,35,1200,personal,27 Feb 2024,8
associar,to connect; connect,36,1200,personal,6 Dec 2023,7
privando,depriving,37,1200,personal,22 Nov 2023,7
funcionários,employees,38,1200,personal,22 Feb 2024,8
uma natação,a swim,39,1200,personal,27 Feb 2024,8
valorizar,to value; value,40,1200,personal,25 Nov 2023,5
demasiado,excessive,41,1200,personal,21 Dec 2023,7
combustível,fuel,42,1200,personal,25 Nov 2023,5
dentadas em uma torrada,bites of toast,43,1200,personal,22 Feb 2024,8
revirar os olhos,to roll the eyes; roll the eyes,44,1200,personal,22 Feb 2024,8
e assim por diante,and so on,45,1200,personal,27 Feb 2024,8
inundar,to flood; flood,46,1200,personal,24 Dec 2023,7
veneziana,shutter,47,1200,personal,25 Nov 2023,5
juízo,judgement,48,1200,personal,27 Feb 2024,8
âncora,anchor,49,1200,personal,25 Nov 2023,5
esparadrapo,tape,50,1200,personal,20 Mar 2024,8
um passo além,one step further,51,1200,personal,3 Dec 2023,7
trajeto,path,52,1200,personal,22 Feb 2024,8
vias áreas,airways,53,1200,personal,23 Feb 2024,8
dilatador,dilator,54,1200,personal,23 Feb 2024,8
espécie,species,55,1200,personal,23 Feb 2024,8
classificação,classification,56,1200,personal,23 Feb 2024,8
se deita,lay down,57,1200,personal,21 Dec 2023,7
alongamento,stretching,58,1200,personal,20 Mar 2024,8
ergométrica,ergometric,59,1200,personal,23 Feb 2024,8
saudação,salute,60,1200,personal,21 Feb 2024,8
ioga,yoga,61,1200,personal,23 Feb 2024,8
quarteirão,block,62,1200,personal,21 Feb 2024,8
adiante,forward,63,1200,personal,18 Dec 2023,6
rabiscando,scribbling,64,1200,personal,22 Jan 2024,7
afazeres,chores,65,1200,personal,22 Feb 2024,8
abordando,approaching,66,1200,personal,23 Feb 2024,8
há pouco,just,67,1200,personal,20 Mar 2024,8
digerir,to digest; digest,68,1200,personal,21 Feb 2024,8
devanear,to daydream; daydream,69,1200,personal,23 Jan 2024,7
compõem,compose,70,1200,personal,21 Dec 2023,7
equação,equation,71,1200,personal,21 Dec 2023,7
ruídos,noises,72,1200,personal,21 Feb 2024,8
pipocar,to pop; pop,73,1200,personal,23 Feb 2024,8
desatravancar,to dismantle; dismantle,74,1200,personal,28 Nov 2023,7
o que me resta fazer,what can I do,75,1200,personal,22 Dec 2023,7
ênfase,emphasis,76,1200,personal,21 Feb 2024,8
o abajur,the lamp,77,1200,personal,21 Feb 2024,8
se revirar,to turn around; turn around,78,1200,personal,4 Mar 2024,8
no cômodo,in the room,79,1200,personal,21 Feb 2024,8
que tal uma vela,how about a candle,80,1200,personal,21 Feb 2024,8
predominar,to predominate; predominate,81,1200,personal,21 Feb 2024,8
arrancá-lo,tear it,82,1200,personal,14 Jan 2024,7
se enroscar,to curl up; curl up,83,1200,personal,21 Feb 2024,8
edredom,duvet,84,1200,personal,21 Feb 2024,8
certifique,make sure,85,1200,personal,21 Feb 2024,8
lógico,logical,86,1200,personal,23 Feb 2024,8
superar,to surpass; surpass; to overcome; overcome,87,1200,personal,22 Feb 2024,8
plena,full,88,1200,personal,21 Feb 2024,8
sua ida,your trip,89,1200,personal,27 Mar 2024,8
natação,swimming,90,1200,personal,25 Feb 2024,8
exercitar,to exercise; exercise,91,1200,personal,21 Feb 2024,8
destravar,to unlock; unlock,92,1200,personal,25 Nov 2023,5
assinaturas,signatures,93,1200,personal,25 Feb 2024,8
rascunho,sketch,94,1200,personal,22 Feb 2024,8
recolher,to recall; recall,95,1200,personal,22 Feb 2024,8
impuser,to impose; impose,96,1200,personal,29 Feb 2024,8
dispositivos,devices,97,1200,personal,25 Nov 2023,5
plenamente,fully,98,1200,personal,25 Feb 2024,8
sede,thirst,99,1200,personal,22 Feb 2024,8
saltar,to jump; jump,100,1200,personal,22 Feb 2024,8
fingir,to fake; fake,101,1200,personal,25 Feb 2024,8
pretendo,intending,102,1200,personal,27 Mar 2024,8
inibirar,to inhibit; inhibit,103,1200,personal,25 Feb 2024,8
por que diabos,why the hell,104,1200,personal,25 Feb 2024,8
arrasado,devastated,105,1200,personal,24 Nov 2023,7
